#{"t_start": 1787492210.902165, "env_id": "None"}
r,l,t
-25.650924,381,5.409095
-90.147578,1333,11.521312
-14.91304,687,14.902179
-22.469656,1678,21.306868
-47.378291,1591,29.068196
60.404619,1493,34.88957
119.060658,2500,46.199586
207.448443,2500,56.087209
61.406278,2500,67.768932
186.564199,2500,77.929481
118.07659,2500,89.447317
240.024931,2284,98.950318
183.407547,2269,108.62412
227.077682,1512,116.613822
174.097938,2500,128.024461
231.267505,1970,138.063369
292.510127,2205,147.336403
43.819449,893,151.645343
312.150446,2500,163.385065
296.945062,2500,176.196592
374.84892,2500,187.181988
347.403623,2500,200.543326
345.599458,2500,211.426254
231.146013,2500,224.685626
366.678171,2500,237.015229
337.480099,2500,252.261588
337.372478,1843,262.090073
371.00152,2500,278.511458
341.352508,1928,289.170576
373.065883,2500,301.681455
394.731159,1837,310.113309
368.680407,1971,318.893526
406.773859,1479,324.444118
374.149109,2309,336.00083
388.599168,2105,345.617072
365.670196,2497,356.061189
355.593396,1887,367.022127
367.948119,2500,378.127018
423.18649,2500,391.683827
397.345205,2500,402.471378
402.61173,1727,411.839419
382.839977,1936,425.250572
402.157411,2249,440.299691
414.54656,2500,450.690912
381.762595,1722,458.687854
438.408899,2151,469.109954
428.521644,1925,478.804924
427.806139,1879,488.257357
421.926428,2500,498.954139
416.915418,2500,510.75842
449.819514,2181,521.237578
402.87022,2177,531.105438
415.203686,1637,538.951529
393.130024,2500,549.979745
220.92013,981,555.054531
424.178665,2338,565.454724
415.909389,1565,573.318923
379.830486,1289,579.795902
383.160296,1366,586.399862
395.917126,2204,599.000102
397.953915,1860,607.602254
413.068258,1467,616.217923
426.824118,1999,626.555041
394.780263,2338,637.028006
366.215664,1467,644.099276
378.16517,1558,649.765922
382.032118,2500,660.366226
371.498353,1949,669.37349
356.237711,2042,678.591286
409.548104,1414,687.121345
414.097825,2016,698.774966
383.878389,1719,707.799788
403.123863,1246,716.124928
415.552961,2500,727.639062
407.580685,2500,740.583768
381.447609,1561,746.947948
378.017987,2422,757.216233
290.096652,2271,769.373862
391.990676,2042,779.564739
375.679413,2500,791.201897
419.859294,1272,796.926377
358.860757,2486,809.563046
382.339704,1703,816.46949
405.905171,1252,824.12705
342.161016,2199,834.609659
401.544232,1919,844.253886
394.633177,1940,853.668717
358.494277,1979,861.760959
375.650156,2500,874.745991
405.473638,2028,884.263746
417.371549,1488,890.369878
434.98155,2500,906.498113
390.940759,1603,914.688095
396.378013,1299,923.973571
451.53666,2500,936.178209
436.860833,2381,948.723129
385.448839,1495,958.813508
426.79312,2500,972.533458
405.838186,2500,988.029004
384.690766,2500,999.721353
426.737191,1556,1007.775285
428.519772,2500,1018.299094
421.412475,1824,1026.254103
414.849118,1404,1031.664544
432.211446,2500,1044.193779
401.601043,1400,1050.7491
369.576823,2083,1062.073781
430.135653,2497,1076.495056
408.733541,1471,1082.29551
376.746051,2299,1093.171043
331.914635,2119,1103.115929
402.130361,2017,1113.22637
380.084576,1241,1118.11549
420.615325,1260,1125.002451
430.555239,2500,1135.330396
406.654572,2264,1144.637128
391.309319,1537,1151.851732
359.968333,1510,1157.724404
401.257689,2146,1168.334069
386.382412,1473,1176.812852
409.414682,2500,1187.610274
405.655003,2497,1200.515727
406.396903,1361,1205.892503
415.576577,1279,1210.961393
403.724179,1477,1218.281207
385.791328,1748,1224.771046
